Id,eigencentrality,betweenesscentrality
Agent Gomez,0.233375,0
Agent Gorman,0.233375,0
Agent Hayes,0.233375,0
Agent Hook,0.233375,0
Agent Hope,0.233375,0
Agent L,0.233375,0
Agent Lindsay,0.233375,0
Agent M,0.233375,0
Agent Marquez,0.233375,0
Agent Mason,0.233375,0
Agent May,0.233375,0
Agent McAllister,0.233375,0
Agent Owen,0.233375,0
Agent Preston,0.233375,0
Agent Simmons,0.233375,0
Agent Simon,0.233375,0
Agent Solomon,0.233375,0
Agent Tiger,0.233375,0
Agent Vaughn,0.233375,0
Agent Warrick,0.233375,0
Agent Waynesboro,0.233375,0
Agent Whitaker,0.233375,0
Agent Whitman,0.233375,0
Alex DePaul,0.233375,0
Alexander Pierce,0.233375,0
Alisandre Morales,0.233375,0
Annie Wong,0.233375,0
Arabian Knight,0.233375,0
Balaban,0.233375,0
Beck Lockhart,0.233375,0
Bev Sykes,0.233375,0
Captain Koenig,0.233375,0
Charles Dalton,0.233375,0
Chastity McBryde,0.233375,0
Chief Chang,0.233375,0
Clay Quartermain,0.233375,0
Daisy Johnson,0.233375,0
Daman Veteri,0.233375,0
Derek Malloy,0.233375,0
Dr. Erik Selvig,0.233375,0
Druid,0.233375,0
Dum Dum Dugan,0.233375,0
Ellis Love,0.233375,0
Eric Koenig,0.233375,0
Free Spirit,0.233375,0
G.W. Bridge,0.233375,0
Gabe Jones,0.233375,0
Gaffer,0.233375,0
Glyph,0.233375,0
Grant Ward,0.233375,0
Harry Zviens,0.233375,0
Jack Truman,0.233375,0
Jake Oh,0.233375,0
Jasper Sitwell,0.233375,0
Jebediah Young,0.233375,0
Jenna Carlisle,0.233375,0
Jimmy Woo,0.233375,0
Joaquin Pennysworth,0.233375,0
John Garrett,0.233375,0
Joseph Bricklemoore,0.233375,0
Kali Vries,0.233375,0
Key,0.233375,0
Ludlow Grimes,0.233375,0
M-80,0.233375,0
Major Hauer,0.233375,0
Manphibian,0.233375,0
Mary Parker,0.233375,0
Melinda Leucenstern,0.233375,0
Nancy Winters,0.233375,0
Network Nina,0.233375,0
Nicole Orr,0.233375,0
Override,0.233375,0
Patricia Wolman,0.233375,0
Paul Kraye,0.233375,0
R.O.B.,0.233375,0
Randall Jessup,0.233375,0
Redeemer,0.233375,0
Richard Parker,0.233375,0
Rick Stoner,0.233375,0
Sal Kennedy,0.233375,0
Sheva Joseph,0.233375,0
Silk,0.233375,0
Star Carter,0.233375,0
Teen Abomination,0.233375,0
Tony Masters,0.233375,0
Vampire by Night,0.233375,0
Warwolf,0.233375,0
Zhang Heng,0.233006,0
Andrea Janson,0.230677,0
Answer,0.230677,0
Antwoin Molare,0.230677,0
Arnim Zola,0.230677,0
Arnold Brown,0.230677,0
Arthur Woodman,0.230677,0
Assassin,0.230677,0
Atua-Thaugul,0.230677,0
Baron Wolfgang von Strucker,0.230677,0
Bestial,0.230677,0
Bitmap,0.230677,0
Bob,0.230677,0
Bob Oppenheim,0.230677,0
Bowman,0.230677,0
Bronskon,0.230677,0
Bull's Eye,0.230677,0
Cassandra Romulus,0.230677,0
Catalyst,0.230677,0
Chancellor Cassandra,0.230677,0
Charles Atkins,0.230677,0
Codename: Bravo,0.230677,0
Commander Kraken,0.230677,0
Connely,0.230677,0
Cool Million,0.230677,0
Corrosion,0.230677,0
Crippler,0.230677,0
Crown,0.230677,0
Dakini,0.230677,0
Daniel Whitehall,0.230677,0
Deadmaker,0.230677,0
Deltite,0.230677,0
Dennis Bowden,0.230677,0
Dismember,0.230677,0
Dmitri Petrovich,0.230677,0
Doc Locke,0.230677,0
Doctor Faustus,0.230677,0
Dr. Emil Kreagan,0.230677,0
Edgar Lascombe,0.230677,0
El Jaguar,0.230677,0
Elisa Sinclair,0.230677,0
Elliot Kohl,0.230677,0
Elsbeth von Strucker,0.230677,0
Elsie Carson,0.230677,0
Eric Saltz,0.230677,0
Fox,0.230677,0
Frank,0.230677,0
Gargoyle Brother One,0.230677,0
Gargoyle Brother Two,0.230677,0
Garotte,0.230677,0
Geist,0.230677,0
George Fistal,0.230677,0
Gerald Richter,0.230677,0
Guillotine,0.230677,0
Hammer,0.230677,0
Hardball,0.230677,0
High-Zero,0.230677,0
Hive,0.230677,0
Horst Eisele,0.230677,0
Host,0.230677,0
Hydra Queen,0.230677,0
I'xx'll'tk,0.230677,0
Infomorph,0.230677,0
Innards,0.230677,0
Ivan Trevkov,0.230677,0
Jake Fury,0.230677,0
James Winderfield,0.230677,0
Jared Kurtz,0.230677,0
Julia Crane,0.230677,0
Kalee Batrel,0.230677,0
Karl Kraus,0.230677,0
Killobyte,0.230677,0
Kitty Drake,0.230677,0
Knockabout,0.230677,0
Lance,0.230677,0
Lance Halstan,0.230677,0
Lord Drain,0.230677,0
Lord Falcon,0.230677,0
Lord Quietus,0.230677,0
Lt. Gregory Belial,0.230677,0
Madame Hydra Six,0.230677,0
Madame Jasmine,0.230677,0
Madame Worm,0.230677,0
Malpractice,0.230677,0
Mammoth,0.230677,0
Militant,0.230677,0
Mindstorm,0.230677,0
Moorek,0.230677,0
Morgan Cur,0.230677,0
Mother of Pearl,0.230677,0
Ms. Diaz,0.230677,0
Nancy Winderfield,0.230677,0
Nikolaus Geist,0.230677,0
Number 16,0.230677,0
Number 72,0.230677,0
Otto Vermis,0.230677,0
Philomena Kensington,0.230677,0
Pyre,0.230677,0
Ralph Sanzetti,0.230677,0
Red Skull,0.230677,0
Richard Fisk,0.230677,0
Ron Takimoto,0.230677,0
Rotwrap,0.230677,0
Rudolf Kranz,0.230677,0
Sathan,0.230677,0
Scylla,0.230677,0
Silvermane,0.230677,0
Simon Mycroft,0.230677,0
Simon Valk,0.230677,0
Sorrowful Maiden,0.230677,0
Space Phantom,0.230677,0
Steel Collar,0.230677,0
Superior Octopus,0.230677,0
Tactical Force,0.230677,0
Technospike,0.230677,0
The Confessor,0.230677,0
The Ghast,0.230677,0
The Ghoul,0.230677,0
The Hound,0.230677,0
Troy,0.230677,0
Urgoth Krall,0.230677,0
Venomm,0.230677,0
Vincente Fortunato,0.230677,0
Violence,0.230677,0
Vladimir Korda,0.230677,0
Warlord,0.230677,0
Werner von Strucker,0.230677,0
Whale,0.230677,0
Wildpride,0.230677,0
William Darvin,0.230677,0
William Fields,0.230677,0
Wirehead,0.230677,0
Wolfen,0.230677,0
Xao,0.230677,0
Yellowclaw,0.230677,0
Yith,0.230677,0
Black Tom Cassidy,0.230434,0
Sauron,0.230434,0
Candy Southern,0.227733,0
Masque,0.197507,0
Moonstone,0.193321,0
Beetle,0.192715,0
Cyclone,0.190659,0
Lord Deathstrike,0.187936,0
Night Thrasher (Dwayne Taylor),0.187221,0
Black Mamba,0.182007,0
Atlas,0.180418,0
Mister Hyde,0.180418,0
Whiplash,0.180418,0
Boomerang,0.178144,0
Doctor Octopus,0.178144,0
Killer Shrike,0.178144,0
Eel,0.171768,0
Aqueduct,0.164576,0
Joystick,0.164576,0
Quicksand,0.164576,0
Radioactive Man,0.164576,0
Slyde,0.164576,0
Vanisher,0.164332,0
Overmind,0.161938,0
Blackheart,0.158206,0
Howard Stark,0.157135,0
Alan Wilson,0.154413,0
Anton Pierce,0.154413,0
Azazel,0.154413,0
Bianca LaNeige,0.154413,0
Briar Raleigh,0.154413,0
Charles Grey,0.154413,0
Commander Clinton,0.154413,0
Conrad Strathdee,0.154413,0
Cordelia Frost,0.154413,0
Cornelius Shaw,0.154413,0
Diana Knight,0.154413,0
Dog Logan,0.154413,0
Donald Pierce,0.154413,0
Dr. Xanto Starblood,0.154413,0
Duncan Munro,0.154413,0
Edward Buckman,0.154413,0
Eleanor Grey,0.154413,0
Elias Bogan,0.154413,0
Elizabeth Shaw,0.154413,0
Emma Steed,0.154413,0
Emmanuel da Costa,0.154413,0
Esau Shaw,0.154413,0
Ezekiel Stane,0.154413,0
Franz,0.154413,0
Friedrich von Roehm,0.154413,0
Gerhard van Ostamgen,0.154413,0
Gordon Philips,0.154413,0
Harry Leland,0.154413,0
Harry Manners,0.154413,0
Infestation,0.154413,0
Jacob Shaw,0.154413,0
Jacqueline Falsworth,0.154413,0
"James Braddock, Sr",0.154413,0
Jane Hampshire,0.154413,0
Jason Wyngarde,0.154413,0
John Stuart,0.154413,0
John Wilkes,0.154413,0
Kathryn Worthington,0.154413,0
Kenneth Krask,0.154413,0
Kevin Krask,0.154413,0
Kid Blackheart,0.154413,0
Lady Grey,0.154413,0
Liu Wo-Han,0.154413,0
Lord Braddock,0.154413,0
Lourdes Chantel,0.154413,0
Madeline Pryor,0.154413,0
Malkin Grey,0.154413,0
Mandame Mondo,0.154413,0
Margali Szardos,0.154413,0
Mercedes,0.154413,0
Molyneux,0.154413,0
Montgomery Falsworth,0.154413,0
Mountjoy,0.154413,0
Mr. Shaw,0.154413,0
Ms. Cabot,0.154413,0
Oliver Ryland,0.154413,0
Paris Seville,0.154413,0
Patrick Clemens,0.154413,0
Quentin Templeton,0.154413,0
Ronald Parvenue,0.154413,0
Salome,0.154413,0
Sir Francis Dashwood,0.154413,0
Szandor Shaw,0.154413,0
The Philistine,0.154413,0
Tin Man,0.154413,0
Trevor Fitzroy,0.154413,0
Turner,0.154413,0
Veronica Southern,0.154413,0
Wallace,0.154413,0
Wallace Worthington,0.154413,0
Waltham Pierce,0.154413,0
Warren Worthington Jr,0.154413,0
Wendigo,0.154413,0
Wilhelmina Kensington,0.154413,0
Wolfgang von Roehm,0.154413,0
Amora,0.152654,0
Daken,0.146423,0
Scourge,0.143912,0
Doctor Strange,0.143709,0
Slither,0.142292,0
Harry Pizer,0.140898,0
Mesmero,0.140898,0
Bulldozer,0.13935,0
Thunderball,0.13935,0
Ulysses Klaw,0.13935,0
Wrecker,0.13935,0
Namorita,0.138957,0
Thornn,0.131784,0
Scorcher,0.130479,0
Squid,0.130479,0
Grey Gargoyle,0.12923,0
Constrictor,0.126924,0
Titania,0.1248,0
Bushmaster,0.122551,0
Princess Python,0.122352,0
Puff Adder,0.122352,0
Silver Surfer,0.121244,0
Ironclad,0.120236,0
Vapor,0.120236,0
Vector,0.120236,0
X-Ray,0.120236,0
Blindspot,0.120107,0
Dragonfly,0.119628,0
Gypsy Moth,0.119628,0
Piledriver,0.119628,0
Tiger Shark,0.119628,0
Hydro-Man,0.117897,0
Rictor,0.115375,0
Ghost Rider,0.113942,0
Feral,0.113858,0
Bi-Beast,0.112352,0
Melter (Bruno Horgan),0.112352,0
Morg,0.110594,0
Madcap,0.109983,0
Speed Demon,0.106185,0
Skurge,0.102773,0
Red She-Hulk,0.102757,0
Satannish,0.102185,0
Moon Knight,0.099251,0
King Cobra,0.099122,0
Rattler,0.099122,0
Alex Wilder,0.098175,0
Anachronism,0.098175,0
Baron Heinrich Zemo,0.098175,0
Bison,0.098175,0
Black Talon,0.098175,0
Bloodstone,0.098175,0
Brothers Grimm,0.098175,0
Cardinal,0.098175,0
Carrion,0.098175,0
Chase Stein,0.098175,0
Coat of Arms,0.098175,0
Crimson Cowl,0.098175,0
Crossfire,0.098175,0
